name,model_size,buffer_type,acc_new,f1_new,precision_new,recall_new,acc_all,f1_all,precision_all,recall_all,acc_base,f1_base,precision_base,recall_base,training_time,buffer_length,buffer_memory
multimodal_bert+bilstm_None+MLP,1041.6777772903442,no_buffer,0.8414285714285714,0.2454545454545454,0.206390977443609,0.309375,0.8559782608695652,0.3101763727021865,0.2449659108926589,0.4322739001137059,0.8322981366459627,0.4181571815718157,0.3670521259562355,0.4880952380952381,22.7305468916893,0.0,0.0
standalone_resnet18+MLP,129.54375553131104,unlimit,0.85,0.0468749999999999,0.0681818181818181,0.0357142857142857,1.10187338501292,0.2673935617860852,0.3333333333333333,0.2751948584712156,0.9806201550387597,0.2670825906120023,0.6666666666666666,0.25,5.628784477710724,2449.25,4.914495468139648
standalone_pho+bigru,1154.2398977279663,no_buffer,0.6657142857142857,0.1474892668232168,0.2702380952380952,0.3165922619047619,0.7624429223744292,0.2609421725478469,0.2704828270388615,0.5381576473403528,0.7208904109589042,0.3539730850967625,0.3155157674772036,0.5859375,7.554936230182648,0.0,0.0
multimodal_bert+bigru_resnet50+MLP,1221.1406345367432,remind,0.7428571428571429,0.1334800146681334,0.0982615268329554,0.24375,0.8135744234800839,0.1845063669592642,0.2869678116001646,0.2773036471316583,0.7547169811320754,0.2074844074844075,0.2093969555035129,0.21875,47.51417261362076,512.0,50.08604431152344
standalone_train+bilstm,699.7466259002686,no_buffer,0.7,0.0512048192771084,0.0291095890410958,0.2125,0.9237820512820512,0.1743411455800836,0.0634346213661921,0.6561850311850311,0.8442307692307692,0.1937965260545906,0.0846153846153846,0.4230769230769231,7.35792726278305,0.0,0.0
multimodal_bert+bilstm_resnet50+MLP,1225.1484470367432,remind,0.8542857142857143,0.1381074168797954,0.3461538461538461,0.140625,0.96187641723356,0.1513084376722772,0.2422867513611615,0.1527169536459794,0.8639455782312925,0.198546026132233,0.354679802955665,0.1724137931034483,70.27989143133163,512.0,50.08604431152344
multimodal_bert+bilstm_resnet50+MLP,1225.1484470367432,no_buffer,0.86,0.0937499999999999,0.125,0.075,0.9700113378684808,0.1117657251776122,0.1825557809330628,0.0873718546132339,0.8690476190476191,0.1336913510457885,0.3103448275862069,0.0948275862068965,31.97112274169922,0.0,0.0
standalone_train+bigru,696.4770946502686,no_buffer,0.7,0.0512048192771084,0.0291095890410958,0.2125,0.857797619047619,0.1099952591656131,0.2405368251499666,0.3081450591216216,0.7857142857142857,0.1312539531941809,0.4427721088435374,0.2053571428571428,7.8943564891815186,0.0,0.0
standalone_train+bigru,696.4770946502686,unlimit,0.8285714285714286,0.0512820512820512,0.125,0.0334375,0.9904166666666668,0.1056098017423958,0.3297345016095016,0.0690278815993243,0.8839285714285714,0.1146237125942745,0.4578798185941042,0.0714285714285714,11.95972192287445,2449.25,179.51923179626465
standalone_train+bigru,696.4770946502686,remind,0.7,0.0512048192771084,0.0291095890410958,0.2125,0.8566071428571428,0.1037452591656131,0.0575011108642523,0.3046573359073359,0.7839285714285714,0.1153225806451613,0.0767006802721088,0.1964285714285714,16.66554766893387,512.0,18.79302215576172
